Country,,Date,Confirmed_cases,Total_death,Active
India,IND,"Jan 30, 2020",1,0,1
India,IND,"Jan 31, 2020",1,0,1
India,IND,"Feb 1, 2020",1,0,1
India,IND,"Feb 2, 2020",2,0,2
India,IND,"Feb 3, 2020",2,0,2
India,IND,"Feb 4, 2020",3,0,3
India,IND,"Feb 5, 2020",3,0,3
India,IND,"Feb 6, 2020",3,0,3
India,IND,"Feb 7, 2020",3,0,3
India,IND,"Feb 8, 2020",3,0,3
India,IND,"Feb 9, 2020",3,0,3
India,IND,"Feb 10, 2020",3,0,3
India,IND,"Feb 11, 2020",3,0,3
India,IND,"Feb 12, 2020",3,0,3
India,IND,"Feb 13, 2020",3,0,3
India,IND,"Feb 14, 2020",3,0,3
India,IND,"Feb 15, 2020",3,0,3
India,IND,"Feb 16, 2020",3,0,3
India,IND,"Feb 17, 2020",3,0,3
India,IND,"Feb 18, 2020",3,0,3
India,IND,"Feb 19, 2020",3,0,3
India,IND,"Feb 20, 2020",3,0,3
India,IND,"Feb 21, 2020",3,0,3
India,IND,"Feb 22, 2020",3,0,3
India,IND,"Feb 23, 2020",3,0,3
India,IND,"Feb 24, 2020",3,0,3
India,IND,"Feb 25, 2020",3,0,3
India,IND,"Feb 26, 2020",3,0,3
India,IND,"Feb 27, 2020",3,0,3
India,IND,"Feb 28, 2020",3,0,3
India,IND,"Feb 29, 2020",3,0,3
India,IND,"Mar 1, 2020",3,0,3
India,IND,"Mar 2, 2020",6,0,3
India,IND,"Mar 3, 2020",7,0,4
India,IND,"Mar 4, 2020",29,0,26
India,IND,"Mar 5, 2020",30,0,27
India,IND,"Mar 6, 2020",31,0,28
India,IND,"Mar 7, 2020",34,0,31
India,IND,"Mar 8, 2020",40,0,37
India,IND,"Mar 9, 2020",47,0,43
India,IND,"Mar 10, 2020",62,0,58
India,IND,"Mar 11, 2020",62,0,58
India,IND,"Mar 12, 2020",74,1,69
India,IND,"Mar 13, 2020",82,2,70
India,IND,"Mar 14, 2020",100,2,88
India,IND,"Mar 15, 2020",114,2,99
India,IND,"Mar 16, 2020",129,2,114
India,IND,"Mar 17, 2020",143,3,126
India,IND,"Mar 18, 2020",169,3,152
India,IND,"Mar 19, 2020",194,4,170
India,IND,"Mar 20, 2020",249,5,221
India,IND,"Mar 21, 2020",332,5,304
India,IND,"Mar 22, 2020",396,7,365
India,IND,"Mar 23, 2020",499,10,455
India,IND,"Mar 24, 2020",536,10,486
India,IND,"Mar 25, 2020",657,12,602
India,IND,"Mar 26, 2020",727,20,662
India,IND,"Mar 27, 2020",887,20,794
India,IND,"Mar 28, 2020",987,24,879
India,IND,"Mar 29, 2020",1024,27,902
India,IND,"Mar 30, 2020",1251,32,1117
India,IND,"Mar 31, 2020",1397,35,1239
India,IND,"Apr 1, 2020",1998,58,1792
India,IND,"Apr 2, 2020",2543,72,2280
India,IND,"Apr 3, 2020",3059,86,2781
India,IND,"Apr 4, 2020",3588,99,3260
India,IND,"Apr 5, 2020",4289,118,3843
India,IND,"Apr 6, 2020",4778,136,4267
India,IND,"Apr 7, 2020",5351,160,4723
India,IND,"Apr 8, 2020",5916,178,5232
India,IND,"Apr 9, 2020",6725,227,5863
India,IND,"Apr 10, 2020",7600,249,6577
India,IND,"Apr 11, 2020",8446,288,7189
India,IND,"Apr 12, 2020",9205,331,7794
India,IND,"Apr 13, 2020",10453,358,8914
India,IND,"Apr 14, 2020",11487,393,9735
India,IND,"Apr 15, 2020",12370,422,10440
India,IND,"Apr 16, 2020",13430,448,11214
India,IND,"Apr 17, 2020",14352,486,11825
India,IND,"Apr 18, 2020",16365,521,13382
India,IND,"Apr 19, 2020",17615,559,14202
India,IND,"Apr 20, 2020",18539,592,14674
India,IND,"Apr 21, 2020",20080,645,15460
India,IND,"Apr 22, 2020",21370,681,16319
India,IND,"Apr 23, 2020",23039,721,17306
India,IND,"Apr 24, 2020",24447,780,18171
India,IND,"Apr 25, 2020",26283,825,19519
India,IND,"Apr 26, 2020",27890,881,20486
India,IND,"Apr 27, 2020",29451,939,21375
India,IND,"Apr 28, 2020",31324,1008,22569
India,IND,"Apr 29, 2020",33062,1079,23546
India,IND,"Apr 30, 2020",34863,1154,24641
India,IND,"May 1, 2020",37257,0,0
India,IND,"May 2, 2020",39699,0,0
India,IND,"May 3, 2020",42505,0,0
India,IND,"May 4, 2020",46437,0,0
India,IND,"May 5, 2020",49400,0,0
India,IND,"May 6, 2020",52987,0,0
India,IND,"May 7, 2020",56351,0,0
India,IND,"May 8, 2020",59695,0,0
India,IND,"May 9, 2020",62808,0,0
